gauge,amount,symbol,token_price_current,usd,score_current,token_current,token_name_current,per,transaction_hash_current,block_hash_current,block_number_current,amount_last,token_price_last,usd_last,score_last,token_last,token_name_last,per_vote_last,transaction_hash_last,block_hash_last,block_number_last,chng,forecast,per_current
mkUSD+FRAXBP (0x0CFe…),"1,920",PRISMA,1.26,2419.2,57528.38525273648,0xdA47862a83dac0c112BA89c6abC2159b95afd71C,Prisma Governance Token,0.0421,0x14d3c4f79c0ac9c6d2145312c4fb8a16a9761eeeaf020c62a5eb1794ad948c77,0x41c841f3b8a9e599f9002e319cb6d8c8bafdbceaa16fc5204f60213411351c3b,18758929.0,"1,920",1.26,2419.2,75638.06328417495,0xdA47862a83dac0c112BA89c6abC2159b95afd71C,Prisma Governance Token,0.0320,0x14d3c4f79c0ac9c6d2145312c4fb8a16a9761eeeaf020c62a5eb1794ad948c77,0x41c841f3b8a9e599f9002e319cb6d8c8bafdbceaa16fc5204f60213411351c3b,18758929.0,0.0,2419.2,
alUSD+FRAXBP (0xB30d…),"5,760",ALCX,21.13,121708.8,2385483.1788777425,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,Alchemix,0.0510,0x013af1a5443ed63553230361631935e0e7feb5bd6b32de9ed8e3a0d8b5855e7b,0xc78a7185740cb47dcd13bb6dd0ba03dbb8241449a03c3908b6d459f1dad4d789,18842259.0,"5,760",21.13,121708.8,1780042.7721662626,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,Alchemix,0.0684,0x013af1a5443ed63553230361631935e0e7feb5bd6b32de9ed8e3a0d8b5855e7b,0xc78a7185740cb47dcd13bb6dd0ba03dbb8241449a03c3908b6d459f1dad4d789,18842259.0,0.0,121708.8,
alUSD+3Crv (0x43b4…),480,ALCX,21.13,10142.4,334283.9216441193,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,Alchemix,0.0303,0x013af1a5443ed63553230361631935e0e7feb5bd6b32de9ed8e3a0d8b5855e7b,0xc78a7185740cb47dcd13bb6dd0ba03dbb8241449a03c3908b6d459f1dad4d789,18842259.0,480,21.13,10142.4,253067.2892227079,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,Alchemix,0.0401,0x013af1a5443ed63553230361631935e0e7feb5bd6b32de9ed8e3a0d8b5855e7b,0xc78a7185740cb47dcd13bb6dd0ba03dbb8241449a03c3908b6d459f1dad4d789,18842259.0,0.0,10142.4,
WETH+CVX (0xB576…),"19,007",CVX,3.2,60822.52799999999,1531602.7377403898,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0397,0x9884369270bc4af1123378815dd191b88a7fa4f74b0a46d9fa4470b9df3b3d0b,0x9a5697b3fd09d44365e7362caf3f0f315b10e1b437efde0aaf582e4f3f330320,18931812.0,"19,007",3.52,66904.7808,1848896.0028443115,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0362,0x684268a92c1357dfaee267c761b3c8a3bd9ed664cc3bfdc084bfcd4d6b5dcf64,0x92840d0a5045469ad3a0e522c8d4bd1eba27098d8996d6010fd3b88445851f70,18845774.0,-9.1,60822.52799999999,
CVX+FRAXBP (0xBEc5…),"1,010",CVX,3.2,3231.744,41681.366040222,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0775,0x9884369270bc4af1123378815dd191b88a7fa4f74b0a46d9fa4470b9df3b3d0b,0x9a5697b3fd09d44365e7362caf3f0f315b10e1b437efde0aaf582e4f3f330320,18931812.0,"1,010",3.52,3554.9184,54991.42211887544,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0646,0x684268a92c1357dfaee267c761b3c8a3bd9ed664cc3bfdc084bfcd4d6b5dcf64,0x92840d0a5045469ad3a0e522c8d4bd1eba27098d8996d6010fd3b88445851f70,18845774.0,-9.1,3231.744,
frxETH+CVX (0x47D5…),"5,207",CVX,3.2,16662.528000000002,208011.31060065812,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0801,0x9884369270bc4af1123378815dd191b88a7fa4f74b0a46d9fa4470b9df3b3d0b,0x9a5697b3fd09d44365e7362caf3f0f315b10e1b437efde0aaf582e4f3f330320,18931812.0,"5,207",3.52,18328.7808,256380.57198277148,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0715,0x684268a92c1357dfaee267c761b3c8a3bd9ed664cc3bfdc084bfcd4d6b5dcf64,0x92840d0a5045469ad3a0e522c8d4bd1eba27098d8996d6010fd3b88445851f70,18845774.0,-9.1,16662.528000000002,
CRV+cvxCRV (0x971a…),"76,108",CVX,3.2,243545.08800000005,7040654.86572113,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0346,0x9884369270bc4af1123378815dd191b88a7fa4f74b0a46d9fa4470b9df3b3d0b,0x9a5697b3fd09d44365e7362caf3f0f315b10e1b437efde0aaf582e4f3f330320,18931812.0,"77,186",3.52,271694.4384,7901022.509575184,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0344,0x684268a92c1357dfaee267c761b3c8a3bd9ed664cc3bfdc084bfcd4d6b5dcf64,0x92840d0a5045469ad3a0e522c8d4bd1eba27098d8996d6010fd3b88445851f70,18845774.0,-10.4,243545.08800000005,
cvxCRV+FRAXBP (0x31c3…),390,CVX,3.2,1247.232,17237.426194376534,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0724,0x9884369270bc4af1123378815dd191b88a7fa4f74b0a46d9fa4470b9df3b3d0b,0x9a5697b3fd09d44365e7362caf3f0f315b10e1b437efde0aaf582e4f3f330320,18931812.0,395,3.52,1388.8512,25733.79344149861,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0540,0x684268a92c1357dfaee267c761b3c8a3bd9ed664cc3bfdc084bfcd4d6b5dcf64,0x92840d0a5045469ad3a0e522c8d4bd1eba27098d8996d6010fd3b88445851f70,18845774.0,-10.2,1247.232,
FXS+cvxFXS (0x6a90…),"26,231",CVX,3.2,83939.32800000001,2246608.4674652736,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0374,0x9884369270bc4af1123378815dd191b88a7fa4f74b0a46d9fa4470b9df3b3d0b,0x9a5697b3fd09d44365e7362caf3f0f315b10e1b437efde0aaf582e4f3f330320,18931812.0,"26,461",3.52,93144.2688,2544796.810080871,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0366,0x684268a92c1357dfaee267c761b3c8a3bd9ed664cc3bfdc084bfcd4d6b5dcf64,0x92840d0a5045469ad3a0e522c8d4bd1eba27098d8996d6010fd3b88445851f70,18845774.0,-9.9,83939.32800000001,
cvxFXS+FRAXBP (0x21d1…),265,CVX,3.2,847.872,12928.997163692562,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0656,0x9884369270bc4af1123378815dd191b88a7fa4f74b0a46d9fa4470b9df3b3d0b,0x9a5697b3fd09d44365e7362caf3f0f315b10e1b437efde0aaf582e4f3f330320,18931812.0,267,3.52,939.4176,24401.567317955232,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0385,0x684268a92c1357dfaee267c761b3c8a3bd9ed664cc3bfdc084bfcd4d6b5dcf64,0x92840d0a5045469ad3a0e522c8d4bd1eba27098d8996d6010fd3b88445851f70,18845774.0,-9.7,847.872,
