gauge,amount,symbol,token_price_current,usd,votes_current,token_current,token_name_current,per,amount_last,token_price_last,usd_last,votes_last,token_last,token_name_last,per_vote_last,chng,forecast,per_current
MIM+3Crv (0x5a6A…),"105,600,000",SPELL,0.00047741,50414.496,1516633.0114073628,0x090185f2135308BaD17527004364eBcC2D37e5F6,Spell Token,0.0332,"105,600,000",0.00043672,46117.632,2023391.9534620096,0x090185f2135308BaD17527004364eBcC2D37e5F6,Spell Token,0.0228,9.3,50414.496,
WETH+CVX (0xB576…),"19,007",CVX,2.82,53599.85279999999,1554845.056286839,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0345,"18,848",2.61,49192.4448,2181757.94005108,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0225,9.0,53599.85279999999,
CVX+FRAXBP (0xBEc5…),"1,010",CVX,2.82,2847.9744,92456.92528088394,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0308,"1,417",2.61,3698.2656,190982.54666420628,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0194,-23.0,2847.9744,
frxETH+CVX (0x47D5…),"5,207",CVX,2.82,14683.8528,522986.79894143343,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0281,"4,959",2.61,12943.929599999998,760784.2578938095,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0170,13.4,14683.8528,
CRV+cvxCRV (0x971a…),"83,238",CVX,2.82,234730.4832,7269513.5208058255,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0323,"82,327",2.61,214872.7392,10341603.315219317,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0208,9.2,234730.4832,
cvxCRV+FRAXBP (0x31c3…),"1,713",CVX,2.82,4829.6448,151342.6923671023,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0319,"1,694",2.61,4422.384,217322.7638810891,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0203,9.2,4829.6448,
FXS+cvxFXS (0x6a90…),"23,276",CVX,2.82,65638.7712,1908627.705827979,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0344,"23,898",2.61,62374.4064,2766840.637156734,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0225,5.2,65638.7712,
cvxFXS+FRAXBP (0x21d1…),"1,225",CVX,2.82,3454.3872,119145.78793236685,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0290,"1,258",2.61,3282.336,188901.8617261988,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0174,5.2,3454.3872,
FPIS+cvxFPIS (0xfBB4…),"1,380",CVX,2.82,3890.2464,113278.42888547758,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0343,"1,659",2.61,4329.6768,198664.4032858681,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0218,-10.1,3890.2464,
FXN+cvxFXN (0x1062…),"1,028",CVX,2.82,2899.4112,75304.51504894417,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0385,"1,028",2.61,2683.4976,117974.79196361,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0227,8.0,2899.4112,
crvUSD+frxETH+SDT (0x9543…),240,sdFXS,5.7352019548013855,1376.4484691523326,39358.0200560213,0x402F878BDd1f5C66FdAF0fabaBcF74741B68ac36,Stake DAO FXS,0.0350,nan,,,,,,nan,nan,1376.4484691523326,
msUSD+FRAXBP (0xc3b1…),"21,120",MET,0.852123,17996.83776,485113.0532508299,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Metronome2,0.0371,"21,120",0.765079,16158.46848,786884.6710653765,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Metronome2,0.0205,11.4,17996.83776,
msETH+WETH (0xa4c5…),"15,360",MET,0.852123,13088.60928,353660.0724027612,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Metronome2,0.0370,"15,360",0.765079,11751.61344,519074.4529394801,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Metronome2,0.0226,11.4,13088.60928,
CVX+clevCVX (0xF907…),"2,208",CVX,2.92,6447.36,169706.7259124189,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0380,"2,208",2.67,5895.36,254421.5570484093,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0232,9.4,6447.36,
ETH+CLEV (0x342D…),672,CVX,2.92,1962.24,48680.34544651443,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0403,672,2.67,1794.24,77034.75421494624,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0233,9.4,1962.24,
ETH+FXN (0xC15F…),2,WETH,1792.44,3441.4848,84002.31510173799,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,0.0410,2,1561.56,2998.1952,130759.445048176,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,0.0229,14.8,3441.4848,
alUSD+FRAXBP (0xB30d…),"2,386",FXS,6.1,14555.09592992936,2563070.5597483777,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0057,"3,191",5.63,17965.633002865943,4537958.919016525,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0040,-19.0,14555.09592992936,
eUSD+FRAXBP (0xAEda…),669,FXS,6.1,4079.7452910731536,937127.607775966,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0044,627,5.63,3530.321330341208,975839.6782065944,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0036,15.6,4079.7452910731536,
ZUSD+FRAXBP (0x400d…),72,FXS,6.1,437.677631471642,11459.819875626368,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0382,101,5.63,568.6373128276632,65709.25791835126,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0087,-23.0,437.677631471642,
DOLA+FRAXBP (0xE571…),"1,072",FXS,6.1,6536.322763789761,1787993.3580318622,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0037,"1,165",5.63,6556.568358429295,3319273.3519258266,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0020,-0.3,6536.322763789761,
STG+FRAXBP (0x867f…),272,FXS,6.1,1656.394059326458,45696.38555882212,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0362,327,5.63,1841.9566962848132,80163.04682138495,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0230,-10.1,1656.394059326458,
COIL+FRAXBP (0xAF42…),145,FXS,6.1,886.6919711696277,24196.99596733365,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0366,203,5.63,1140.781499890233,49058.97272599971,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0233,-22.3,886.6919711696277,
cvxFXS+FRAXBP (0x21d1…),127,FXS,6.1,775.7093688663161,119145.78793236685,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0065,178,5.63,1002.3918351871084,188901.8617261988,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0053,-22.6,775.7093688663161,
msUSD+FRAXBP (0xc3b1…),189,FXS,6.1,1150.3032130296615,485113.0532508299,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0024,291,5.63,1637.5793728564847,786884.6710653765,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0021,-29.8,1150.3032130296615,
clevUSD+FRAXBP (0x84C3…),94,FXS,6.1,575.281253603619,25353.776114286968,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0227,115,5.63,648.9198941435994,76648.08325351209,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0085,-11.3,575.281253603619,
cvxCRV+FRAXBP (0x31c3…),76,FXS,6.1,462.7886501318387,151342.6923671023,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0031,90,5.63,505.1521678395712,217322.7638810891,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0023,-8.4,462.7886501318387,
CVX+FRAXBP (0xBEc5…),66,FXS,6.1,405.06517774496393,92456.92528088394,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0044,112,5.63,630.7769297038006,190982.54666420628,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0033,-35.8,405.06517774496393,
SDT+FRAXBP (0x3e3C…),8,FXS,6.1,50.51716792354512,2.4978034442254096,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,20.2246,36,5.63,205.30997024652893,69805.01704471956,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0029,-75.4,50.51716792354512,
TUSD+FRAXBP (0x33ba…),26,FXS,6.1,157.54766591951326,4348.135305115668,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0362,36,5.63,202.05381500774908,36598.97538753408,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0055,-22.0,157.54766591951326,
mkUSD+FRAXBP (0x0CFe…),327,FXS,6.1,1993.8802791303424,61073.02150147581,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0326,487,5.63,2742.4156901240635,120246.62681257044,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0228,-27.3,1993.8802791303424,
