gauge,amount,symbol,token_price_current,usd,votes_current,token_current,token_name_current,per,amount_last,token_price_last,usd_last,votes_last,token_last,token_name_last,per_vote_last,chng,forecast,per_current
fETH+FRAXBP (0x5f5F…),50,FXS,6.1,305.48717626982733,85100.57636507192,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0036,39,5.63,217.8222903119684,91805.21022123269,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0024,40.2,305.48717626982733,
PYUSD+FRAXBP (0x61fA…),61,FXS,6.1,372.4837715377785,143241.29300408773,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0026,61,5.63,343.49324733735824,89563.17762224968,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0038,8.4,372.4837715377785,
FRAX+FPI (0xf861…),"6,919",FXS,6.12,42342.5664,1748248.289477901,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0242,"7,530",5.63,42395.2512,2340509.858350744,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0181,-0.1,42342.5664,
FRAX+USDC (0xDcEF…),"12,473",FXS,6.12,76336.47360000001,3481261.3609680776,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0219,"4,777",5.63,26894.2848,1120342.4764930613,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0240,183.8,76336.47360000001,
FRAX+USDP (0xaE34…),"10,647",FXS,6.12,65161.8432,2510470.533952847,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0260,"9,544",5.63,53734.5216,3077728.842830081,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0175,21.3,65161.8432,
FRAX+crvUSD (0x0CD6…),893,FXS,6.12,5463.936,2027165.6794290796,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0027,717,5.63,4037.3856,2028921.0571677347,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0020,35.3,5463.936,
frxETH+CVX (0x47D5…),589,FXS,6.1,3594.1732147618927,729480.1955532534,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0049,757,5.68,4302.343845460302,760784.2578938095,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0057,-16.5,3594.1732147618927,
sETH+frxETH (0x663a…),139,FXS,6.1,845.8586153347926,51060.34581904315,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0166,115,5.68,652.3829593930996,69222.69090782023,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0094,29.7,845.8586153347926,
rETH+frxETH (0xe7c6…),117,FXS,6.1,711.7140644526143,51060.34581904315,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0139,144,5.68,815.986720205474,35030.18310284089,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0233,-12.8,711.7140644526143,
cbETH+frxETH (0x7306…),111,FXS,6.1,677.9224658674915,51060.34581904315,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0133,161,5.68,916.456293044736,38886.276919802265,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0236,-26.0,677.9224658674915,
