gauge,amount,symbol,token_price_current,usd,score_current,token_current,token_name_current,per,transaction_hash_current,block_hash_current,block_number_current,amount_last,token_price_last,usd_last,score_last,token_last,token_name_last,per_vote_last,transaction_hash_last,block_hash_last,block_number_last,chng,forecast,per_current
ETH+CNC (0x838a…),"4,874",CNC,2.24,10917.415384615386,784479.9237097462,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0139,0xf71e1b44c82a9bd487317d1752aac09b22165e634cc56c9d719b3e44960e857c,0x0b7f84e24582774a346f55be951dd532a69a919823f47cbaf9735acd7aeaeaba,18950265.0,"4,874",2.24,10917.415384615386,358559.5218669626,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0304,0xf71e1b44c82a9bd487317d1752aac09b22165e634cc56c9d719b3e44960e857c,0x0b7f84e24582774a346f55be951dd532a69a919823f47cbaf9735acd7aeaeaba,18950265.0,0.0,10917.415384615386,
mkUSD+USDC (0xF980…),"19,200",PRISMA,0.887347,17037.0624,570387.5091880753,0xdA47862a83dac0c112BA89c6abC2159b95afd71C,Prisma Governance Token,0.0299,0xa6aac19201e0ecb7ddba429814d238186f6f4126c5f794b889c61d4c88cf2f2d,0x4ef82d6579ccc8c8bccbc4c384395d284a80c8711af161789d794fb8c2420f36,19057546.0,"19,200",0.887347,17037.0624,400694.4881806176,0xdA47862a83dac0c112BA89c6abC2159b95afd71C,Prisma Governance Token,0.0425,0xa6aac19201e0ecb7ddba429814d238186f6f4126c5f794b889c61d4c88cf2f2d,0x4ef82d6579ccc8c8bccbc4c384395d284a80c8711af161789d794fb8c2420f36,19057546.0,0.0,17037.0624,
ETH+OETH (0x94B1…),"4,800,000",OGV,0.00966462,46390.176,1685234.3257620437,0x9c354503C38481a7A7a51629142963F98eCC12D0,Origin DeFi Governance,0.0275,0xfb7b39024b4fa979babe6f8a77623d3dfa4eb3838220bda6d467c691a972e820,0x2d9fa61cf8404f84282084ed3cb6ac83605c4d7e425fc5f5f76002b5f275ec0d,19067036.0,"2,400,000",0.00998275,23958.6,1215688.226702636,0x9c354503C38481a7A7a51629142963F98eCC12D0,Origin DeFi Governance,0.0197,0x6e9b10c97a08dbbbd4166a003c132eb03cf318b9a8458aa3d1222ffe639e6558,0xfb241649c6b43e0a9074033fdc9bcf18f4833eb2ffc29da2e4e06df3a5ade505,18935880.0,93.6,46390.176,
crvUSD+frxETH+SDT (0x9543…),197,sdFXS,9.98187325911406,1964.432657393647,44671.22696687658,0x402F878BDd1f5C66FdAF0fabaBcF74741B68ac36,Stake DAO FXS,0.0440,0x8d3b7430195ccf354e053b104c597933e238bd3c0645db20f1a97b3ed0ad56a0,0xd887413a638404f45002cbcccb35dee6b67e0b8feb16f82587a1bd9c8a66c384,19141559.0,288,8.574833165688947,2469.5519517184166,19245.420242043707,0x402F878BDd1f5C66FdAF0fabaBcF74741B68ac36,Stake DAO FXS,0.1283,0x777e1ef4b7624872aadbbabe554197803d2e8f6b61a7b57e00750a33454fc60f,0x60c8b3cfe9e6bc98957d403e4ca3a8f0849238b46851f97124c58b8174ca1825,19061446.0,-20.5,1964.432657393647,
msUSD+FRAXBP (0xc3b1…),"21,120",MET,0.815541,17224.22592,351445.1027346542,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Metronome2,0.0490,0x40aa7d9cd09a6d1eace025388c2e7015ebb4bdd4782c6eb0f76211a1b092652f,0x5f693da37446e5402f42ff8db840bd17bbaec064473db76211b0227d63468faf,19142962.0,"21,120",0.913307,19289.04384,243572.5763040984,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Metronome2,0.0792,0x27a295b457b13cc00cb734d5327b50088e514ae9fc23d52a492832767edbc54a,0x7b10b1babf50550085783ca4197fb894a72b28a426a6ab7710a5db7830387730,19043643.0,-10.7,17224.22592,
msETH+WETH (0xa4c5…),"15,360",MET,0.815541,12526.70976,500546.8229009444,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Metronome2,0.0250,0x40aa7d9cd09a6d1eace025388c2e7015ebb4bdd4782c6eb0f76211a1b092652f,0x5f693da37446e5402f42ff8db840bd17bbaec064473db76211b0227d63468faf,19142962.0,"15,360",0.913307,14028.39552,346013.5028203602,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Metronome2,0.0405,0x27a295b457b13cc00cb734d5327b50088e514ae9fc23d52a492832767edbc54a,0x7b10b1babf50550085783ca4197fb894a72b28a426a6ab7710a5db7830387730,19043643.0,-10.7,12526.70976,
WETH+CVX (0xB576…),"18,865",CVX,2.9084117889087877,54867.07206129271,2352472.559093401,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0233,0x44d94c074699fd7521c96f87f6be2c8382f7db91c1230fa656f5f62053e0f5e1,0x97c0ca16586b47f2c19fff41d678491acbf5f01e7327e1d6115b0997fb3e6fe6,19152081.0,"19,007",2.95,56070.768,1406492.8514362248,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0399,0x5dc1b96e84e74ff365598d8b23b67bd8f4ac6c6220433d8a8766032d54d47d89,0xacbf87076ef96141b736237b9494ab4cbfe1acb4fb122bcb11551a8527ac0d74,19052981.0,-2.1,54867.07206129271,
CVX+FRAXBP (0xBEc5…),"1,272",CVX,2.9084117889087877,3699.499795491977,82665.8441701096,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0448,0x44d94c074699fd7521c96f87f6be2c8382f7db91c1230fa656f5f62053e0f5e1,0x97c0ca16586b47f2c19fff41d678491acbf5f01e7327e1d6115b0997fb3e6fe6,19152081.0,"1,010",2.95,2979.264,43797.98963342042,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0680,0x5dc1b96e84e74ff365598d8b23b67bd8f4ac6c6220433d8a8766032d54d47d89,0xacbf87076ef96141b736237b9494ab4cbfe1acb4fb122bcb11551a8527ac0d74,19052981.0,24.2,3699.499795491977,
frxETH+CVX (0x47D5…),"5,087",CVX,2.9084117889087877,14795.207106650558,338600.867527323,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0437,0x44d94c074699fd7521c96f87f6be2c8382f7db91c1230fa656f5f62053e0f5e1,0x97c0ca16586b47f2c19fff41d678491acbf5f01e7327e1d6115b0997fb3e6fe6,19152081.0,"5,207",2.95,15360.768,223092.51109081547,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0689,0x5dc1b96e84e74ff365598d8b23b67bd8f4ac6c6220433d8a8766032d54d47d89,0xacbf87076ef96141b736237b9494ab4cbfe1acb4fb122bcb11551a8527ac0d74,19052981.0,-3.7,14795.207106650558,
CRV+cvxCRV (0x971a…),"67,465",CVX,2.9084117889087877,196215.8850022598,9656321.41021224,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0203,0x44d94c074699fd7521c96f87f6be2c8382f7db91c1230fa656f5f62053e0f5e1,0x97c0ca16586b47f2c19fff41d678491acbf5f01e7327e1d6115b0997fb3e6fe6,19152081.0,"72,860",2.95,214937.472,5959118.011256987,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0361,0x5dc1b96e84e74ff365598d8b23b67bd8f4ac6c6220433d8a8766032d54d47d89,0xacbf87076ef96141b736237b9494ab4cbfe1acb4fb122bcb11551a8527ac0d74,19052981.0,-8.7,196215.8850022598,
cvxCRV+FRAXBP (0x31c3…),346,CVX,2.9084117889087877,1005.147114246877,23820.272575536652,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0422,0x44d94c074699fd7521c96f87f6be2c8382f7db91c1230fa656f5f62053e0f5e1,0x97c0ca16586b47f2c19fff41d678491acbf5f01e7327e1d6115b0997fb3e6fe6,19152081.0,373,2.95,1101.648,38279.67269282245,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0288,0x5dc1b96e84e74ff365598d8b23b67bd8f4ac6c6220433d8a8766032d54d47d89,0xacbf87076ef96141b736237b9494ab4cbfe1acb4fb122bcb11551a8527ac0d74,19052981.0,-8.8,1005.147114246877,
FXS+cvxFXS (0x6a90…),"34,686",CVX,2.9084117889087877,100880.47329126085,4329491.265550294,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0233,0x44d94c074699fd7521c96f87f6be2c8382f7db91c1230fa656f5f62053e0f5e1,0x97c0ca16586b47f2c19fff41d678491acbf5f01e7327e1d6115b0997fb3e6fe6,19152081.0,"29,850",2.95,88058.20800000001,2190130.982915551,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0402,0x5dc1b96e84e74ff365598d8b23b67bd8f4ac6c6220433d8a8766032d54d47d89,0xacbf87076ef96141b736237b9494ab4cbfe1acb4fb122bcb11551a8527ac0d74,19052981.0,14.6,100880.47329126085,
cvxFXS+FRAXBP (0x21d1…),350,CVX,2.9084117889087877,1019.107490833639,29224.80087963716,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0349,0x44d94c074699fd7521c96f87f6be2c8382f7db91c1230fa656f5f62053e0f5e1,0x97c0ca16586b47f2c19fff41d678491acbf5f01e7327e1d6115b0997fb3e6fe6,19152081.0,301,2.95,889.248,16702.38274856475,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0532,0x5dc1b96e84e74ff365598d8b23b67bd8f4ac6c6220433d8a8766032d54d47d89,0xacbf87076ef96141b736237b9494ab4cbfe1acb4fb122bcb11551a8527ac0d74,19052981.0,14.6,1019.107490833639,
FPIS+cvxFPIS (0xfBB4…),"1,364",CVX,2.9084117889087877,3967.539025957812,169521.75933497865,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0234,0x44d94c074699fd7521c96f87f6be2c8382f7db91c1230fa656f5f62053e0f5e1,0x97c0ca16586b47f2c19fff41d678491acbf5f01e7327e1d6115b0997fb3e6fe6,19152081.0,"1,161",2.95,3423.8880000000004,84776.4661510135,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0404,0x5dc1b96e84e74ff365598d8b23b67bd8f4ac6c6220433d8a8766032d54d47d89,0xacbf87076ef96141b736237b9494ab4cbfe1acb4fb122bcb11551a8527ac0d74,19052981.0,15.9,3967.539025957812,
FXN+cvxFXN (0x1062…),"3,442",CVX,2.9084117889087877,10009.590012708482,433924.0420797171,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0231,0x44d94c074699fd7521c96f87f6be2c8382f7db91c1230fa656f5f62053e0f5e1,0x97c0ca16586b47f2c19fff41d678491acbf5f01e7327e1d6115b0997fb3e6fe6,19152081.0,"2,974",2.95,8773.536,215879.72179914292,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0406,0x5dc1b96e84e74ff365598d8b23b67bd8f4ac6c6220433d8a8766032d54d47d89,0xacbf87076ef96141b736237b9494ab4cbfe1acb4fb122bcb11551a8527ac0d74,19052981.0,14.1,10009.590012708482,
PRISMA+cvxPrisma (0x3b21…),421,CVX,2.9084117889087877,1225.7210643177193,61827.06433175102,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0198,0x44d94c074699fd7521c96f87f6be2c8382f7db91c1230fa656f5f62053e0f5e1,0x97c0ca16586b47f2c19fff41d678491acbf5f01e7327e1d6115b0997fb3e6fe6,19152081.0,"1,086",2.95,3202.992,80702.35900324002,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0397,0x5dc1b96e84e74ff365598d8b23b67bd8f4ac6c6220433d8a8766032d54d47d89,0xacbf87076ef96141b736237b9494ab4cbfe1acb4fb122bcb11551a8527ac0d74,19052981.0,-61.7,1225.7210643177193,
DOLA+FRAXBP (0xE571…),"1,920",INV,31.63,60729.6,1482231.3916727244,0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68,Inverse DAO,0.0410,0xfc7fdff67f2b7c86eb21a3e403968ea9766969f1f357aa88680488a9cfc7b9cf,0xd541b472cc3ff5c98f7f12b92cdc46e227c522b2eedbff3868f0c2f0bca56645,19155620.0,"1,920",33.61,64531.2,231486.9002980051,0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68,Inverse DAO,0.2788,0x0673d7e3d9dabfc0c30dda27b9cfcfd87b2c948416fe1e2d0edfec9869fe108c,0x7eda359a8bb651bf714ee697667e893151eb4c7515d3de7a6d91e11a7d17f44d,19063734.0,-5.9,60729.6,
FRAX+USDC (0xDcEF…),"1,711",FXS,10.04,17175.6288,704966.7271102922,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0244,0x135cf86b9e4e64e4edf4a0346f00f3aca31f363ad2fe677ec5c4ff547e1ed6d3,0x4a7f981d9a77fbb6ea8f7eb0b13467f7aaeb25b0fa45d026a3d9116fb83a675f,19157912.0,"3,750",9.095167574710675,34104.69556494711,921751.2163169078,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0370,0xd2634a885e9d5ed3f19d8255a178465a3115e487c99d3d54805f08b51591f344,0x881d5ff556dfba789414bd8fafb59372f7a4298e8d902ff1440c84edcecc555e,19052240.0,-49.6,17175.6288,
FRAX+FPI (0x2Cf9…),824,FXS,10.04,8269.747199999998,339696.2957072506,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0243,0x135cf86b9e4e64e4edf4a0346f00f3aca31f363ad2fe677ec5c4ff547e1ed6d3,0x4a7f981d9a77fbb6ea8f7eb0b13467f7aaeb25b0fa45d026a3d9116fb83a675f,19157912.0,"1,788",9.11,16284.3072,428306.8432234163,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0380,0x4504cb10dca96e30c1f5ac8bb0f8249c3b71ca87f38c91daeaba15dd1c0144c4,0xa768ad40944f6fee7e5f6f50a31465102199876218c3cac4da5af7311b48a5af,19052257.0,-49.2,8269.747199999998,
FRAX+PYUSD (0xA558…),"5,965",FXS,10.04,59893.01759999999,3160824.9804759664,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0189,0x135cf86b9e4e64e4edf4a0346f00f3aca31f363ad2fe677ec5c4ff547e1ed6d3,0x4a7f981d9a77fbb6ea8f7eb0b13467f7aaeb25b0fa45d026a3d9116fb83a675f,19157912.0,"16,397",9.11058760345568,149384.4828163421,4165149.566636895,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0359,0xad82c50dbbe15427e26f965a2bfcb25d8060d3b5e0f404ee5cb6b93053d99055,0x70d3aa4660814744912af4282893616602bd2f885e63296b24136a295951aa8f,19052268.0,-59.9,59893.01759999999,
FRAX+sDAI (0xcE64…),"7,888",FXS,10.04,79198.73279999998,3845815.187845734,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0206,0x135cf86b9e4e64e4edf4a0346f00f3aca31f363ad2fe677ec5c4ff547e1ed6d3,0x4a7f981d9a77fbb6ea8f7eb0b13467f7aaeb25b0fa45d026a3d9116fb83a675f,19157912.0,"17,252",9.11058760345568,157177.31502883395,4285308.886900933,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0367,0xad82c50dbbe15427e26f965a2bfcb25d8060d3b5e0f404ee5cb6b93053d99055,0x70d3aa4660814744912af4282893616602bd2f885e63296b24136a295951aa8f,19052268.0,-49.6,79198.73279999998,
FRAX+crvUSD (0x0CD6…),278,FXS,10.04,2795.1359999999995,113986.820196953,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0245,0x135cf86b9e4e64e4edf4a0346f00f3aca31f363ad2fe677ec5c4ff547e1ed6d3,0x4a7f981d9a77fbb6ea8f7eb0b13467f7aaeb25b0fa45d026a3d9116fb83a675f,19157912.0,"1,073",9.12,9788.3136,256285.163938317,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0382,0xfa5c91a288c3aa4e02c743043b596f7ba4d1e5f304e442ac935b293845e75f86,0x4eb18a3a9e72d016c563b31c770893c1f50cd0d310e6bc2afe0b4d4e2e24dbde,19052285.0,-71.4,2795.1359999999995,
