gauge,amount,symbol,token_price_current,usd,score_current,token_current,token_name_current,per,transaction_hash_current,block_hash_current,block_number_current,amount_last,token_price_last,usd_last,score_last,token_last,token_name_last,per_vote_last,transaction_hash_last,block_hash_last,block_number_last,chng,forecast,per_current
ETH+CNC (0x838a…),"4,874",CNC,1.19,5799.876923076923,870.0673199624749,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,6.6660,0x40d80af2ad467bba1bfa5d6c005b633f9580ed21c46238c05216ebb2446c502e,0x7fe5b969784c73a6378cd21cef7816210eca59b23d60ddb1b596c8f33c7c177a,18334549.0,"4,874",1.19,5799.876923076923,282237.6762486237,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0205,0x40d80af2ad467bba1bfa5d6c005b633f9580ed21c46238c05216ebb2446c502e,0x7fe5b969784c73a6378cd21cef7816210eca59b23d60ddb1b596c8f33c7c177a,18334549.0,0.0,5799.876923076923,
WETH+CVX (0xB576…),"19,007",CVX,3.63,68995.55519999999,178762.57670949228,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.3860,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"19,007",2.82,53599.85279999999,2163417.195363557,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0248,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,28.7,68995.55519999999,
CVX+FRAXBP (0xBEc5…),"1,010",CVX,3.63,3666.0096,3725.897248387484,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.9839,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"1,010",2.82,2847.9744,64829.2323919313,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0439,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,28.7,3666.0096,
frxETH+CVX (0x47D5…),"5,207",CVX,3.63,18901.5552,30730.8698053745,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.6151,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"5,207",2.82,14683.8528,364740.0977766269,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0403,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,28.7,18901.5552,
CRV+cvxCRV (0x971a…),"83,599",CVX,3.63,303463.3536,34692.4141779268,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,8.7473,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"83,238",2.82,234730.4832,10280773.648150554,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0228,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,29.3,303463.3536,
cvxCRV+FRAXBP (0x31c3…),"1,716",CVX,3.63,6230.8224,1142.8571428571438,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,5.4520,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"1,713",2.82,4829.6448,105916.4635693172,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0456,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,29.0,6230.8224,
FXS+cvxFXS (0x6a90…),"23,135",CVX,3.63,83980.19519999999,140407.21722997082,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.5981,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"23,276",2.82,65638.7712,2649357.61123929,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0248,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,27.9,83980.19519999999,
cvxFXS+FRAXBP (0x21d1…),"1,217",CVX,3.63,4418.7264,2828.1827581745965,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,1.5624,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"1,225",2.82,3454.3872,83757.03822794286,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0412,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,27.9,4418.7264,
FPIS+cvxFPIS (0xfBB4…),"1,168",CVX,3.63,4241.0016,2562.176259986708,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,1.6552,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"1,380",2.82,3890.2464,155892.82007573824,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0250,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,9.0,4241.0016,
FXN+cvxFXN (0x1062…),"1,028",CVX,3.63,3732.2208,0.0,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0000,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"1,028",2.82,2899.4112,123466.857124198,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0235,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,28.7,3732.2208,
