gauge,amount,symbol,token_price_current,usd,score_current,token_current,token_name_current,per,transaction_hash_current,block_hash_current,block_number_current,amount_last,token_price_last,usd_last,score_last,token_last,token_name_last,per_vote_last,transaction_hash_last,block_hash_last,block_number_last,chng,forecast,per_current
ETH+CNC (0x838a…),"4,874",CNC,1.19,5799.876923076923,271989.62465836824,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0213,0x40d80af2ad467bba1bfa5d6c005b633f9580ed21c46238c05216ebb2446c502e,0x7fe5b969784c73a6378cd21cef7816210eca59b23d60ddb1b596c8f33c7c177a,18334549.0,"4,874",1.19,5799.876923076923,282237.6762486237,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0205,0x40d80af2ad467bba1bfa5d6c005b633f9580ed21c46238c05216ebb2446c502e,0x7fe5b969784c73a6378cd21cef7816210eca59b23d60ddb1b596c8f33c7c177a,18334549.0,0.0,5799.876923076923,
WETH+CVX (0xB576…),"19,007",CVX,3.63,68995.55519999999,2199596.926315035,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0314,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"19,007",2.82,53599.85279999999,2163417.195363557,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0248,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,28.7,68995.55519999999,
CVX+FRAXBP (0xBEc5…),"1,010",CVX,3.63,3666.0096,58076.63852214004,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0631,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"1,010",2.82,2847.9744,64829.2323919313,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0439,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,28.7,3666.0096,
frxETH+CVX (0x47D5…),"5,207",CVX,3.63,18901.5552,320862.27096702624,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0589,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"5,207",2.82,14683.8528,364740.0977766269,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0403,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,28.7,18901.5552,
CRV+cvxCRV (0x971a…),"83,599",CVX,3.63,303463.3536,10553302.354733294,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0288,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"83,238",2.82,234730.4832,10280773.648150554,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0228,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,29.3,303463.3536,
cvxCRV+FRAXBP (0x31c3…),"1,716",CVX,3.63,6230.8224,100997.36002800986,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0617,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"1,713",2.82,4829.6448,105916.4635693172,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0456,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,29.0,6230.8224,
FXS+cvxFXS (0x6a90…),"23,135",CVX,3.63,83980.19519999999,1972655.0869852928,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0426,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"23,276",2.82,65638.7712,2649357.61123929,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0248,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,27.9,83980.19519999999,
cvxFXS+FRAXBP (0x21d1…),"1,217",CVX,3.63,4418.7264,79149.61921782313,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0558,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"1,225",2.82,3454.3872,83757.03822794286,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0412,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,27.9,4418.7264,
FPIS+cvxFPIS (0xfBB4…),"1,168",CVX,3.63,4241.0016,134667.46396490443,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0315,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"1,380",2.82,3890.2464,155892.82007573824,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0250,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,9.0,4241.0016,
FXN+cvxFXN (0x1062…),"1,028",CVX,3.63,3732.2208,104888.87290173669,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0356,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,"1,028",2.82,2899.4112,123466.857124198,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0235,0xa4a287ddde19a32fe46085082aa3cc194e8b5d7fdc44e86e302109110f512f6a,0xfdcba015d29d21dfb1931307154ae70d17bc7fab3f20badfcfa5590fc56ad751,18438709.0,28.7,3732.2208,
msUSD+FRAXBP (0xc3b1…),"21,120",MET,0.928737,19614.92544,463241.304257946,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Metronome2,0.0423,0xbefc9ebe167bed520444797695c39f6a4963e777db4146bc5531413bb823794a,0xe6f1f333f0fd7cda4e4769c9643c665958cd827ef934cdfed18a76f151282260,18544498.0,"21,120",0.852123,17996.83776,369528.9086737148,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Metronome2,0.0487,0xabe2d600952a3e84181f74070c20e46ba50820bbf82316d6be203c172c4cb0d2,0xc745c2f735295cfd53494e0684ad5adde60ce2801ed8bfb4cf9dba4a5213348b,18442737.0,9.0,19614.92544,
msETH+WETH (0xa4c5…),"15,360",MET,0.928737,14265.40032,391871.17436603433,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Metronome2,0.0364,0xbefc9ebe167bed520444797695c39f6a4963e777db4146bc5531413bb823794a,0xe6f1f333f0fd7cda4e4769c9643c665958cd827ef934cdfed18a76f151282260,18544498.0,"15,360",0.852123,13088.60928,505373.2035812351,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Metronome2,0.0259,0xabe2d600952a3e84181f74070c20e46ba50820bbf82316d6be203c172c4cb0d2,0xc745c2f735295cfd53494e0684ad5adde60ce2801ed8bfb4cf9dba4a5213348b,18442737.0,9.0,14265.40032,
alUSD+FRAXBP (0xB30d…),"5,760",ALCX,16.25,93600.0,2363792.917016324,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,Alchemix,0.0396,0xfef5206ea02a9207559cfccb0c4837835cd1054e0557296490c89e03c2f51696,0x6ccf02b51a52cc41e157b3ca35f010f615b4b1d8cbe448e323fbd6108ba847fd,18547736.0,"5,760",13.33,76780.8,1867996.716576181,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,Alchemix,0.0411,0x0d192369c3a7b4ee7e52519ea431e05aed2bb06e466b79ae0e1b3b72da9e711c,0x78825d5502f384db6eaa32939f78ce514ccb4dd885dce9a684f386d0dd0f2098,18426269.0,21.9,93600.0,
alUSD+3Crv (0x43b4…),480,ALCX,16.25,7800.0,262931.60735462693,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,Alchemix,0.0297,0xfef5206ea02a9207559cfccb0c4837835cd1054e0557296490c89e03c2f51696,0x6ccf02b51a52cc41e157b3ca35f010f615b4b1d8cbe448e323fbd6108ba847fd,18547736.0,480,13.33,6398.4,263391.93690438446,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,Alchemix,0.0243,0x0d192369c3a7b4ee7e52519ea431e05aed2bb06e466b79ae0e1b3b72da9e711c,0x78825d5502f384db6eaa32939f78ce514ccb4dd885dce9a684f386d0dd0f2098,18426269.0,21.9,7800.0,
FRAX+USDC (0xDcEF…),"11,170",FXS,6.8,75953.28,4747648.496903101,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0160,0xf4fed1cf9059abe4a52589ecd88d6ca48308dbc91bb78d81385f42e60df6dbb2,0xb535c59330b562fe876984aca2f7ed7d4c22b62475f850495d5fc78a450f645e,18557226.0,"12,473",6.12,76336.47360000001,3481261.3609680794,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0219,0x18d98cd9d7e5fc37e7d8f5b269789c88c86f5dbd9c85271799d406c8a8eb8fb0,0x1e1d67aec92698c27471f09f24b901b3e9452a87c447e95393cc873ba27e4c24,18456846.0,-0.5,75953.28,
FRAX+USDP (0xaE34…),"8,491",FXS,6.8,57740.16,4479077.939988111,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0129,0xf4fed1cf9059abe4a52589ecd88d6ca48308dbc91bb78d81385f42e60df6dbb2,0xb535c59330b562fe876984aca2f7ed7d4c22b62475f850495d5fc78a450f645e,18557226.0,"10,647",6.12,65161.8432,2510470.5339528485,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0260,0x18d98cd9d7e5fc37e7d8f5b269789c88c86f5dbd9c85271799d406c8a8eb8fb0,0x1e1d67aec92698c27471f09f24b901b3e9452a87c447e95393cc873ba27e4c24,18456846.0,-11.4,57740.16,
FRAX+crvUSD (0x0CD6…),"1,504",FXS,6.8,10229.376,440670.1561453925,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0232,0xf4fed1cf9059abe4a52589ecd88d6ca48308dbc91bb78d81385f42e60df6dbb2,0xb535c59330b562fe876984aca2f7ed7d4c22b62475f850495d5fc78a450f645e,18557226.0,893,6.12,5463.936,1013582.8397145408,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0054,0x18d98cd9d7e5fc37e7d8f5b269789c88c86f5dbd9c85271799d406c8a8eb8fb0,0x1e1d67aec92698c27471f09f24b901b3e9452a87c447e95393cc873ba27e4c24,18456846.0,87.2,10229.376,
FRAX+FPI (0xf861…),"6,189",FXS,6.8,42086.016,2175710.121821644,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0193,0xf4fed1cf9059abe4a52589ecd88d6ca48308dbc91bb78d81385f42e60df6dbb2,0xb535c59330b562fe876984aca2f7ed7d4c22b62475f850495d5fc78a450f645e,18557226.0,"6,919",6.12,42342.5664,1748248.2894779022,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0242,0x18d98cd9d7e5fc37e7d8f5b269789c88c86f5dbd9c85271799d406c8a8eb8fb0,0x1e1d67aec92698c27471f09f24b901b3e9452a87c447e95393cc873ba27e4c24,18456846.0,-0.6,42086.016,
alUSD+FRAXBP (0xB30d…),"2,194",FXS,6.801707038163722,14924.976389184412,2363792.917016324,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0063,0x0bb91f22a5dbb93f6cba3c1ca012b8b302f4255bad12b890e063b7986c7c495e,0x9e12e21f3a2071d8c137fa95c77be93012dc6e6d034acb79868e7d664bde6d43,18557313.0,"2,386",6.1,14555.09592992936,1867996.716576181,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0078,0x8b14c72d676ed71a3d6cf4e2d0f45c78e098e4b413f36535ae3fe9600d449151,0x0ceb29d08b1bd0bd656c01d4381ae858fdbcce5d7bdcab1da4e9e11847032a16,18456733.0,2.5,14924.976389184412,
eUSD+FRAXBP (0xAEda…),625,FXS,6.801707038163722,4254.230829738551,952805.6856310244,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0045,0x0bb91f22a5dbb93f6cba3c1ca012b8b302f4255bad12b890e063b7986c7c495e,0x9e12e21f3a2071d8c137fa95c77be93012dc6e6d034acb79868e7d664bde6d43,18557313.0,669,6.1,4079.7452910731536,950491.0537971398,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0043,0x8b14c72d676ed71a3d6cf4e2d0f45c78e098e4b413f36535ae3fe9600d449151,0x0ceb29d08b1bd0bd656c01d4381ae858fdbcce5d7bdcab1da4e9e11847032a16,18456733.0,4.3,4254.230829738551,
