round,ankreth,alUSD+3Crv,FRAX+3Crv,eurs,CRV+cvxCRV,compound,ETH+alETH,reth,mUSD+3Crv,sbtc,mim-ust,tbtc,ren,usdm,usdn,usdp,f-d3pool,USDC+EURS,f-ustw,OUSD+3Crv,d3pool,3eur,ust-wormhole,crv-eth,rai,eurtusd,lusd,WETH+CVX,steth,WETH+T,f-fei,FXS+cvxFXS,f-pwrd,f-cadcusdc,avalanche-f-3pool,f-lfteth,fantom-f-4POOL,optimism-f-4pool,DOLA+3Crv,optimism-f-sUSD3CRV,arbitrum-f-4pool,fantom-f-g3CRV-gauge,f-stgusdc,FRAX+FPI,PUSd+3Crv,xdai-WXDAI+USDC+USDT,FRAX+USDC,mim,TUSD+3Crv,BUSD+FRAXBP,sUSD+FRAXBP,alUSD+FRAXBP,LUSD+FRAXBP,USDD+3Crv,ApeUSD+FRAXBP,TUSD+FRAXBP,USDD+FRAXBP,GUSD+FRAXBP,DOLA+FRAXBP,cvxCRV+FRAXBP,cvxFXS+FRAXBP,CVX+FRAXBP,xFraxTempleLP+UNI-V2,agEUR+FRAXBP,MAI+FRAXBP,PUSd+FRAXBP,ALCX+FRAXBP,BADGER+FRAXBP,RSR+FRAXBP,ETH+frxETH,XAI+FRAXBP,SDT+FRAXBP,ETH+sETH,DAI+USDC+USDT+sUSD,CVX+clevCVX,clevUSD+FRAXBP,OHM+FRAXBP,ETH+pETH,multiBTC+sbtc2Crv,STG+USDC,msUSD+FRAXBP,ETH+CLEV,MIM+3Crv,ETH+CNC,STG+FRAXBP,eUSD+FRAXBP
29,,77950.0,417860.0,,259660.00000000003,,77950.0,,,,,,,,,,,,,99930.0,,,,,,,,194740.0,,15630.0,,194740.0,,,,,,,26080.0,,,,,129250.0,31470.0,,438680.0,,,35260.0,2350.0,13860.0,2350.0,,159230.0,9400.0,3840.0,6460.0,36770.0,66930.0,66990.0,41650.0,30480.0,705.0,1300.0,1120.0,728.5,5880.0,,,,,,,,,,,,,,,,,,
30,,95810.0,468530.0,,245610.0,,95810.0,,,,,,,,,,,,,97340.0,,,,,,,,184200.0,,11710.0,,186680.0,,,,,,,,,,,,131330.0,,24380.0,413070.0,,57600.0,11970.0,4320.0,16670.0,2710.0,95650.0,68150.0,23220.0,20220.0,7010.0,39330.0,64120.00000000001,61400.0,40010.0,47160.0,791.8,600.5,791.8,343.1,1320.0,1450.0,,,,,,,,,,,,,,,,,
31,,65890.0,238450.0,,188390.0,,65890.0,,,,,,,,,,,,,,,,,,,,,141290.0,,9840.0,,141290.0,,,,,,,,,,,,119660.0,,17400.0,316170.0,,57660.0,13740.0,3610.0,10890.0,3060.0,85110.0,25320.0,22600.0,8930.0,13360.0,8189.999999999999,50290.0,50370.0,31200.0,,664.3,404.9,,277.5,15050.0,1220.0,86670.0,,,,,,,,,,,,,,,,
32,,66750.0,262460.0,,181920.0,,66750.0,,,,,,,,,,,,,,,,,,,,,136440.0,,,,136440.0,,,,,,,,,,,,106940.0,,15720.0,338420.0,,,8820.0,3780.0,10710.0,3100.0,,19170.0,7020.0,501.7,6590.0,4440.0,48680.0,48680.0,30170.0,119270.0,577.9,282.2,,389.7,1070.0,1410.0,85630.0,,,,,,,,,,,,,,,,
33,,65000.0,315130.0,,179520.0,,65000.0,,,,,,,,,,,,,,,,,,,,,134640.0,,,,134640.0,,,,,,,,,,,,125910.0,,17200.0,272420.0,,,6130.0,3030.0,9650.0,2310.0,28160.0,18290.0,4059.9999999999995,5400.0,5290.0,5980.0,47130.0,47600.0,29350.0,89130.0,630.2,1780.0,,249.9,717.2,1010.0,123910.0,733.5,184.7,,,,,,,,,,,,,,
34,,57600.0,238150.0,,165780.0,,57600.0,,,,,,,,,,,,,,,,,,,,,124340.0,,,,124340.0,,,,,,,,,,,,99480.0,,16570.0,212150.0,,47930.0,2790.0,1920.0,8180.0,1730.0,,14720.0,11410.0,136.2,3520.0,6310.0,42550.0,42880.0,26810.0,65600.0,431.5,113.5,,158.9,690.4,681.3,125700.0,1090.0,131.7,7110.0,7110.0,,,,,,,,,,,,
35,,56450.0,262620.0,,156590.0,,56450.0,,,,,,,,,,,127640.0,,,,,,,,,,117440.0,,,,117440.0,,,,,,,,,,,,116020.0,,17620.0,199980.0,,50900.0,2780.0,3630.0,7780.0,1440.0,20430.0,1190.0,13510.0,1980.0,3330.0,72690.0,40220.0,40520.0,24470.0,91540.0,316.4,,,137.1,643.3,933.4,130150.0,1620.0,137.1,,,,,,,,,,,,,,
36,,74190.0,381600.0,,276310.0,,74190.0,,,,,,,,,,,177150.0,,,,,,,,,,184200.0,,,,214910.0,,,,,,,,,,,,164820.0,,10270.0,289710.0,,57580.0,4880.0,4760.0,14990.0,1920.0,17040.0,1280.0,19650.0,2070.0,5000.0,106420.0,32830.0,34310.0,50720.0,96000.0,431.0,180.4,,210.4,10170.0,2029.9999999999998,155910.0,2430.0,,,,25540.0,110.2,130.3,,,,,,,,,
37,,10210.0,477360.0,,345860.0,,81680.0,,,,,,,,,,,,,,,,,,,,,218440.0,,,,273040.0,,,,,,,,,,,,205480.0,,11230.0,355070.0,,67200.0,4870.0,3350.0,89360.0,2160.0,12380.0,7880.0,26570.0,2210.0,5470.0,117440.0,21040.0,22020.0,47670.0,96100.0,373.6,233.5,,642.2,1270.0,2290.0,177700.0,3770.0,408.7,,,39520.0,642.2,1650.0,291100.0,4670.0,95170.0,175.1,,,,,
38,,16300.0,370640.0,,304590.0,,116400.0,,,,,,,,,,,,,,,,,,,,,228440.0,,,,285550.0,,,,,,,,,,,,169560.0,,21410.0,272420.0,,67080.0,2530.0,2660.0,126320.0,1430.0,15300.0,,14870.0,2840.0,3670.0,91560.0,20600.0,20700.0,20890.0,,,,,,,1730.0,152530.0,2240.0,,,,28860.0,2050.0,2050.0,249390.0,,325030.0,,15390.0,,,,
39,,19730.0,288360.0,,276020.0,,115110.0,,,,,,,,,,,127220.0,,,,,,,,,,207010.0,,,,258769.99999999997,,,,,,,,,,,,245350.0,,10050.0,223860.0,,71970.0,,1840.0,121490.0,1070.0,,,15850.0,1660.0,2640.0,73830.0,18190.0,18410.0,18410.0,,720.7,,,720.7,936.0,1550.0,148220.0,1550.0,1980.0,,,25300.0,1840.0,2130.0,,,,711.3,13490.0,14130.0,97150.0,1260.0,
40,,20590.0,267970.0,,251600.0,,113260.0,,,,,,,,,,,,,,,,,,,,,188700.0,,,,235870.0,,,,,,,,,,,,212510.0,,10550.0,209660.0,,8700.0,,2190.0,119840.0,886.4,10590.0,,4550.0,1300.0,1960.0,91930.0,16680.0,16560.0,16500.0,,,,,435.5,443.2,1080.0,146560.0,1170.0,886.4,,,26160.0,634.2,1990.0,,,,496.7,13950.0,23750.0,90290.0,1150.0,259.8
