choice_index_current,choice,amount,symbol,score_current,block_number_current,price,usd,per,round,date,amount_last,usd_last,block_number_last,choice_index_last,token_name,token_price,token_addr,score_last,proposal,tx_hash,per_last,chng,forecast
231.0,xdai-WXDAI+USDC+USDT (0x7f90…),14,GNO,63219.12472800735,18033990.0,101.18,1456.9920000000002,0.0230,51,2023-08-22,14,1461.8447875037843,17934080,227,Gnosis Token,101.51699913220725,0x6810e776880C02933D47DB1b9fc05908e5386b96,53684.50232823477,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0xf51217e8eb072e277058850308b4ee7c8ca0b06ab695091baa0eb6ff39e43547,0.0272,-0.3,1456.9920000000002
190.0,GRAI+FRAXBP (0x3175…),"2,400",GRAI,108977.32721028778,18035904.0,0.981004,2354.4096,0.0216,51,2023-08-22,"2,400",2354.5369566355,17941926,193,Gravita Debt Token,0.9810570652647916,0x15f74458aE0bFdAA1a96CA1aa779D715Cc1Eefe4,130588.56033539292,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0xe9d0a8f5661fb62b074e87d9ea67e1b65ea9aabb2c4b3b7f287da00b20097f42,0.0180,-0.0,2354.4096
43.0,WETH+CVX (0xB576…),"12,612",CVX,1596458.7176975566,18045877.0,2.64,33296.9472,0.0209,51,2023-08-22,"10,090",29047.553248237764,17940389,43,Convex Token,2.8789598446160167,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,1133857.9909899188,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0x24ab3eff31b5004b08263612aed14c7a2e92c5cc9c8614192711d4f8755f44f6,0.0256,14.6,33296.9472
90.0,CVX+FRAXBP (0xBEc5…),"2,523",CVX,304522.386003027,18045882.0,2.64,6660.403200000001,0.0219,51,2023-08-22,"2,523",7263.270212784856,17940392,90,Convex Token,2.8789598446160167,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,287955.8403374221,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0x242108495495aedb2d0b79255334626676d56863626d836548df03506c840abe,0.0252,-8.3,6660.403200000001
147.0,frxETH+CVX (0x47D5…),"10,090",CVX,1214801.0136353779,18045886.0,2.64,26636.544,0.0219,51,2023-08-22,"12,612",36310.82346102262,17940396,148,Convex Token,2.8789598446160167,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,1531226.0033869045,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0xb5778039d0b246903d9ac2820e32f0964d4959c6f1bb7c6da95c3461e3f69bb7,0.0237,-26.6,26636.544
133.0,CRV+cvxCRV (0x971a…),"79,566",CVX,10601251.851851737,18045889.0,2.64,210053.6064,0.0198,51,2023-08-22,"83,938",241652.97985344136,17940400,133,Convex Token,2.8789598446160167,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,10008428.297596367,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0x8d71f077c340524e101b6faecedce3d7ef63f3d0c13c2991e26e853f62446939,0.0241,-13.1,210053.6064
91.0,cvxCRV+FRAXBP (0x31c3…),"2,532",CVX,312992.32704953913,18045896.0,2.64,6683.2128,0.0214,51,2023-08-22,"2,596",7473.319123048041,17940405,91,Convex Token,2.8789598446160167,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,299135.699896746,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0xd3533b18361ea0214be03b8ce4621d9384f4c064c51f3ec3277b7430fa0c8115,0.0250,-10.6,6683.2128
180.0,FXS+cvxFXS (0x6a90…),"23,722",CVX,3032948.7190249288,18045898.0,2.64,62625.024,0.0206,51,2023-08-22,"19,371",55767.98567487551,17940410,182,Convex Token,2.8789598446160167,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,2156043.096092,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0x5b18077d9d2a20cbc23771b07d3acd3153112da679b9df57f7ae94ad0176bc3b,0.0259,12.3,62625.024
92.0,cvxFXS+FRAXBP (0x21d1…),"1,249",CVX,150073.7932410245,18045900.0,2.64,3297.2544000000003,0.0220,51,2023-08-22,"1,153",3319.3255424484823,17940412,92,Convex Token,2.8789598446160167,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,154548.82864726672,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0x03428b417e6ffd70ec5980d30027931c87314f4942b1e7c1bb03cb3e2fc3acf5,0.0215,-0.7,3297.2544000000003
135.0,FPIS+cvxFPIS (0xfBB4…),"4,798",CVX,579067.1623735419,18045902.0,2.64,12666.9312,0.0219,51,2023-08-22,"4,798",13813.479651255217,17940415,136,Convex Token,2.8789598446160167,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,535271.5393075983,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0xdadf18807748d8fc856df9be01c0d38d1500cd75990c1d677a0f5452b0d2c6cc,0.0258,-8.3,12666.9312
