choice_index,choice_current,amount,symbol,score_current,price,usd,per,round,date,amount_last,usd_last,choice_last,block_number,token_name,token_price,token_addr,score_last,proposal,tx_hash,per_last,chng,forecast,choice
231,xdai-WXDAI+USDC+USDT (0x7f90…),14,GNO,477965.5426962591,100.62,1448.928,0.0030,,,nan,,,,,,,,,,nan,nan,1448.928,xdai-WXDAI+USDC+USDT (0x7f90…)
190,GRAI+FRAXBP (0x3175…),"2,400",GRAI,2.6197005355638563,0.983224,2359.7376,900.7662,,,nan,,,,,,,,,,nan,nan,2359.7376,GRAI+FRAXBP (0x3175…)
43,WETH+CVX (0xB576…),"12,612",CVX,2517935.3835151033,2.71,34179.8208,0.0136,51.0,2023-08-22,"10,090",29047.553248237764,WETH+CVX (0xB576…),17940389.0,Convex Token,2.8789598446160167,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,1133857.9909899188,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0x24ab3eff31b5004b08263612aed14c7a2e92c5cc9c8614192711d4f8755f44f6,0.0256,17.7,34179.8208,WETH+CVX (0xB576…)
90,CVX+FRAXBP (0xBEc5…),"2,523",CVX,504265.57337677793,2.71,6837.004800000001,0.0136,51.0,2023-08-22,"2,523",7263.270212784856,CVX+FRAXBP (0xBEc5…),17940392.0,Convex Token,2.8789598446160167,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,287955.8403374221,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0x242108495495aedb2d0b79255334626676d56863626d836548df03506c840abe,0.0252,-5.9,6837.004800000001,CVX+FRAXBP (0xBEc5…)
147,frxETH+CVX (0x47D5…),"10,090",CVX,2068460.1418344397,2.71,27342.816,0.0132,,,nan,,,,,,,,,,nan,nan,27342.816,frxETH+CVX (0x47D5…)
133,CRV+cvxCRV (0x971a…),"79,566",CVX,16578842.847898439,2.71,215623.20959999997,0.0130,51.0,2023-08-22,"83,938",241652.97985344136,CRV+cvxCRV (0x971a…),17940400.0,Convex Token,2.8789598446160167,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,10008428.297596367,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0x8d71f077c340524e101b6faecedce3d7ef63f3d0c13c2991e26e853f62446939,0.0241,-10.8,215623.20959999997,CRV+cvxCRV (0x971a…)
91,cvxCRV+FRAXBP (0x31c3…),"2,532",CVX,508250.8636847816,2.71,6860.4192,0.0135,51.0,2023-08-22,"2,596",7473.319123048041,cvxCRV+FRAXBP (0x31c3…),17940405.0,Convex Token,2.8789598446160167,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,299135.699896746,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0xd3533b18361ea0214be03b8ce4621d9384f4c064c51f3ec3277b7430fa0c8115,0.0250,-8.2,6860.4192,cvxCRV+FRAXBP (0x31c3…)
180,FXS+cvxFXS (0x6a90…),"23,722",CVX,4772204.716236354,2.71,64285.53599999999,0.0135,,,nan,,,,,,,,,,nan,nan,64285.53599999999,FXS+cvxFXS (0x6a90…)
92,cvxFXS+FRAXBP (0x21d1…),"1,249",CVX,249618.45580811572,2.71,3384.6816,0.0136,51.0,2023-08-22,"1,153",3319.3255424484823,cvxFXS+FRAXBP (0x21d1…),17940412.0,Convex Token,2.8789598446160167,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,154548.82864726672,0x3596ed9e1a2e0a0bb542f9ac1c0254df935a90422a807f0f8a4bf8e23e1fee70,0x03428b417e6ffd70ec5980d30027931c87314f4942b1e7c1bb03cb3e2fc3acf5,0.0215,2.0,3384.6816,cvxFXS+FRAXBP (0x21d1…)
135,FPIS+cvxFPIS (0xfBB4…),"4,798",CVX,966170.2773870106,2.71,13002.7968,0.0135,,,nan,,,,,,,,,,nan,nan,13002.7968,FPIS+cvxFPIS (0xfBB4…)
