timestamp,name,base_balance,wrapper_balance,base_balance_pct,base_price,wrapper_price,peg
1704400915,PRISMA,360866.21047401894,3800164.999897994,0.08672518715420931,1.21,0.80464,0.6649917355371902
1704400915,FXS,412761.29505392036,2460321.4929360994,0.14366494999007115,8.88,8.08,0.9099099099099098
1704400915,CRV,14255064.38584974,64861652.604795724,0.1801776530683802,0.590943,0.547753,0.9269134248142377
1704400915,FPIS,119384.24346299951,336169.2512011861,0.26206415900948016,1.18,1.063,0.9008474576271186
1704400915,FXN,1489.402157267514,8101.570077312614,0.15529209352702467,76.8,65.23,0.8493489583333335
1704401119,PRISMA,360866.21047401894,3800164.999897994,0.08672518715420931,1.21,0.80464,0.6649917355371902
1704401119,FXS,412761.29505392036,2460321.4929360994,0.14366494999007115,8.88,8.14,0.9166666666666666
1704401119,CRV,14255064.38584974,64861652.604795724,0.1801776530683802,0.590943,0.547753,0.9269134248142377
1704401119,FPIS,119384.24346299951,336169.2512011861,0.26206415900948016,1.18,1.063,0.9008474576271186
1704401119,FXN,1489.402157267514,8101.570077312614,0.15529209352702467,76.89,65.23,0.8483547925608012
1704403062,PRISMA,360866.21047401894,3800164.999897994,0.08672518715420931,1.22,0.808403,0.6626254098360655
1704403062,FXS,412761.29505392036,2460321.4929360994,0.14366494999007115,8.73,8.14,0.9324169530355098
1704403062,CRV,14245936.245374583,64871431.22869151,0.1800607970183571,0.584086,0.54533,0.9336467574980396
1704403062,FPIS,119384.24346299951,336169.2512011861,0.26206415900948016,1.18,1.063,0.9008474576271186
1704403062,FXN,1489.402157267514,8101.570077312614,0.15529209352702467,76.22,65.53,0.8597480976121753
1704403193,PRISMA,360866.21047401894,3800164.999897994,0.08672518715420931,1.22,0.808403,0.6626254098360655
1704403193,FXS,412761.29505392036,2460321.4929360994,0.14366494999007115,8.73,8.14,0.9324169530355098
1704403193,CRV,14245936.245374583,64871431.22869151,0.1800607970183571,0.584086,0.54533,0.9336467574980396
1704403193,FPIS,119384.24346299951,336169.2512011861,0.26206415900948016,1.18,1.063,0.9008474576271186
1704403193,FXN,1516.2726671684773,8069.903003505347,0.1581728438179035,76.22,65.53,0.8597480976121753
1704406673,PRISMA,364357.678115341,3804642.599369838,0.08739689466634638,1.23,0.807401,0.6564235772357724
1704406673,FXS,412761.29505392036,2460321.4929360994,0.14366494999007115,8.68,8,0.9216589861751152
1704406673,CRV,14252688.13847278,64864208.94906191,0.18014720828476943,0.585887,0.547348,0.9342211040695559
1704406673,FPIS,119384.24346299951,336169.2512011861,0.26206415900948016,1.18,1.063,0.9008474576271186
1704406673,FXN,1516.2726671684773,8069.903003505347,0.1581728438179035,76.72,65.17,0.8494525547445256
1704417718,PRISMA,389835.08871127863,4088076.3440834023,0.08705734683724665,1.24,0.805926,0.6499403225806452
1704417718,FXS,412761.29505392036,2460321.4929360994,0.14366494999007115,8.56,7.86,0.9182242990654206
1704417718,CRV,14251585.560020443,64865390.1663646,0.18013309317216006,0.581421,0.541644,0.931586578400161
1704417718,FPIS,119384.24346299951,336169.2512011861,0.26206415900948016,1.18,1.063,0.9008474576271186
1704417718,FXN,1747.8722834967891,7803.243921750568,0.18300188647443247,76.73,67.31,0.8772318519483905
1704426128,PRISMA,417298.3566616923,4118804.6093055564,0.09199490395004963,1.23,0.831171,0.6757487804878048
1704426128,FXS,414411.5229743049,2460320.913098434,0.14415655445848913,8.45,7.75,0.9171597633136096
1704426128,CRV,14168053.117973771,64894895.31622442,0.17919965544626043,0.575176,0.536554,0.9328518575183943
1704426128,FPIS,124247.71252617365,336167.8346061591,0.2698599413074606,1.18,1.063,0.9008474576271186
1704426128,FXN,1747.8722834967891,7803.243921750568,0.18300188647443247,76.54,66.98,0.875097987980141
1704426144,PRISMA,417298.3566616923,4118804.6093055564,0.09199490395004963,1.23,0.831171,0.6757487804878048
1704426144,FXS,414411.5229743049,2460320.913098434,0.14415655445848913,8.45,7.75,0.9171597633136096
1704426144,CRV,14168053.117973771,64894895.31622442,0.17919965544626043,0.575176,0.536554,0.9328518575183943
1704426144,FPIS,124247.71252617365,336167.8346061591,0.2698599413074606,1.18,1.063,0.9008474576271186
1704426144,FXN,1747.8722834967891,7803.243921750568,0.18300188647443247,76.54,66.98,0.875097987980141
1704426157,PRISMA,417298.3566616923,4118804.6093055564,0.09199490395004963,1.23,0.831171,0.6757487804878048
1704426157,FXS,414411.5229743049,2460320.913098434,0.14415655445848913,8.45,7.75,0.9171597633136096
1704426157,CRV,14168053.117973771,64894895.31622442,0.17919965544626043,0.575176,0.536554,0.9328518575183943
1704426157,FPIS,124247.71252617365,336167.8346061591,0.2698599413074606,1.18,1.063,0.9008474576271186
1704426157,FXN,1747.8722834967891,7803.243921750568,0.18300188647443247,76.54,66.98,0.875097987980141
1704426250,PRISMA,417298.3566616923,4118804.6093055564,0.09199490395004963,1.23,0.831171,0.6757487804878048
1704426250,FXS,414411.5229743049,2460320.913098434,0.14415655445848913,8.45,7.75,0.9171597633136096
1704426250,CRV,14168053.117973771,64894895.31622442,0.17919965544626043,0.575176,0.536554,0.9328518575183943
1704426250,FPIS,124247.71252617365,336167.8346061591,0.2698599413074606,1.18,1.063,0.9008474576271186
1704426250,FXN,1747.8722834967891,7803.243921750568,0.18300188647443247,76.54,66.98,0.875097987980141
1704426501,PRISMA,417298.3566616923,4118804.6093055564,0.09199490395004963,1.22,0.831313,0.6814040983606557
1704426501,FXS,414411.5229743049,2460320.913098434,0.14415655445848913,8.44,7.75,0.9182464454976303
