round,date,token_symbol,amount,usd_amount,choice,block_number,choice_index,token_name,token_price,token_addr,score,proposal,tx_hash,per_vote
3,2021-10-14,MTA,19200.0,13537.701040432376,usdn,block_number,choice_index,Meta,0.7050885958558529,0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2,991.0525613044992,proposal,tx_hash,13.659922358318733
3,2021-10-14,BADGER,1699.2,51473.45391888372,pax,block_number,choice_index,Badger,30.29275772062366,0x3472A5A71965499acd81997a54BBA8D852C6E53d,0.81328632660821,proposal,tx_hash,63290.691402070486
3,2021-10-14,BADGER,1180.8,35769.688316512416,rsv,block_number,choice_index,Badger,30.29275772062366,0x3472A5A71965499acd81997a54BBA8D852C6E53d,0.81328632660821,proposal,tx_hash,43981.666906523555
3,2021-10-14,SPELL,28800000.0,572918.32159145,usdm,block_number,choice_index,Spell Token,0.019892997277480902,0x090185f2135308BaD17527004364eBcC2D37e5F6,745705.0226001567,proposal,tx_hash,0.7682908177200866
3,2021-10-14,ALCX,384.0,145673.76919434557,reth,block_number,choice_index,Alchemix,379.3587739436083,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,232.77786570771323,proposal,tx_hash,625.8059319835004
3,2021-10-14,ALCX,384.0,145673.76919434557,fixedforex:krw,block_number,choice_index,Alchemix,379.3587739436083,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,0.81328632660821,proposal,tx_hash,179117.44539204825
3,2021-10-14,FXS,76922.88,480322.7963907719,tusd,block_number,choice_index,Frax Share,6.244212338263621,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,0.81328632660821,proposal,tx_hash,590594.9487604765
3,2021-10-14,CVX,9600.0,133845.50329056475,mim,block_number,choice_index,Convex Token,13.942239926100495,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,2693026.964217455,proposal,tx_hash,0.04970076611522448
3,2021-10-14,DAI,48000.0,48237.67550586399,ust,block_number,choice_index,Dai Stablecoin,1.0049515730388332,0x6B175474E89094C44Da98b954EedeAC495271d0F,0.81328632660821,proposal,tx_hash,59312.04537402958
3,2021-10-14,DAI,48000.0,48237.67550586399,mim-ust,block_number,choice_index,Dai Stablecoin,1.0049515730388332,0x6B175474E89094C44Da98b954EedeAC495271d0F,1005960.6888878555,proposal,tx_hash,0.04795184944969706
4,2021-10-28,USDN,192000.0,188583.6483524987,usdk,block_number,choice_index,Neutrino USD,0.9822065018359307,0x674C6Ad92Fd080e4004b2312b45f796a192D27a0,3.498746622287905,proposal,tx_hash,53900.34452657216
